229	228	0
162	666	0
313	886	0
555	334	0
1012	924	1
1646	861	0
955	142	1
803	1112	0
16875	205	0
1595	896	2
834	99	0
419	1344	0
142	652	0
1151	818	2
971	482	0
1304	44	0
188	1323	0
541	764	0
716	859	0
1568	623	1
392	1088	0
1539	836	0
607	154	0
568	784	0
1034	556	0
705	884	0
1187	907	0
1045	349	1
1277	930	0
231	1326	1
799	997	0
1043	1344	1
615	1359	0
5	971	0
568	503	0
169	1214	2
142	886	0
976	63	0
1510	718	0
68	1571	0
1210	1314	0
1448	999	0
750	606	0
205	353	0
239	433	1
1304	440	0
770	1510	0
516	494	0
16877	1023	0
1031	534	0
1410	1031	0
1344	1126	0
1208	527	0
878	643	0
96	482	0
1033	1304	0
1443	1043	0
1646	1359	1
1001	24	0
1304	525	1
633	1210	0
190	1317	0
18903	1638	0
861	735	2
556	1112	0
1479	229	0
799	960	2
17	934	0
1647	565	0
1480	1196	0
1254	437	0
764	1318	0
975	558	0
277	392	0
362	1608	1
229	1151	0
1055	1404	1
1386	945	0
1022	167	0
924	878	0
352	191	1
353	1034	0
497	994	1
362	1015	0
1349	863	0
62	196	1
633	643	0
863	485	0
440	347	0
1424	932	0
44	1033	0
708	22	0
711	349	0
377	248	0
482	1034	0
35	1705	0
228	16926	0
740	799	0
208	981	0
1649	310	0
231	1590	0
419	1281	0
409	1443	1
231	18839	0
1285	248	0
1611	1585	0
705	1045	0
930	541	0
1261	158	0
934	966	0
47	1012	0
613	1045	1
286	954	0
262	574	0
673	494	0
42	31	0
259	63	0
1585	421	2
672	838	1
377	271	0
1437	108	1
1474	1556	0
1214	534	0
1317	916	0
1354	1048	0
656	799	0
245	631	0
35	44	0
1448	1305	0
334	1335	0
334	620	0
231	433	0
558	392	0
16947	341	0
437	249	0
558	611	0
1022	349	1
360	1041	1
1283	44	0
615	191	0
1305	812	0
980	939	0
981	527	0
96	1282	2
555	352	1
670	440	0
1549	1079	0
565	1410	1
846	803	0
44	719	0
377	1150	0
978	1481	0
947	991	1
1403	262	1
623	620	1
362	208	0
955	1556	0
1079	1314	0
694	1032	1
920	330	0
230	803	0
1425	1549	0
208	1585	0
1314	633	0
991	1050	0
165	932	0
142	485	0
73	440	0
1052	438	0
392	192	1
314	91	1
992	239	0
984	161	0
203	1308	0
209	18967	0
12	833	0
758	1049	1
916	327	0
556	1317	0
1200	1608	1
1001	309	0
934	831	0
1481	1008	0
1097	360	0
230	834	0
16932	705	0
1213	1200	0
1338	1457	2
327	220	0
1210	954	0
1307	1373	0
233	120	0
69	96	1
884	765	0
232	156	1
556	143	0
156	36	0
1281	468	0
16912	438	0
377	425	0
1055	433	1
188	416	0
16904	1556	0
116	243	0
347	380	0
203	17010	0
232	1236	0
16877	377	0
874	1538	0
1321	1034	0
966	1261	0
818	956	0
1197	1205	0
262	808	2
144	678	0
1022	414	0
12	18765	0
1318	1323	0
1208	47	0
245	1066	1
1196	971	0
764	1233	0
920	1000	0
834	147	1
1178	886	0
1254	545	0
245	1112	0
130	1045	2
1500	1437	1
631	824	0
1321	156	1
245	1473	0
976	920	0
334	938	0
412	165	0
1031	503	0
964	1551	0
720	1034	1
392	589	0
964	120	1
209	220	0
541	975	0
587	249	2
127	770	2
1323	623	1
16980	1344	0
220	236	0
16904	1590	0
181	1425	0
563	527	0
694	1705	0
1479	502	0
156	659	1
282	154	0
409	541	0
693	508	0
286	440	0
167	1317	0
1274	419	0
1373	308	0
192	735	2
1285	188	0
1043	711	1
1364	286	0
1369	379	0
1364	1304	0
711	96	0
1386	525	0
678	1261	0
1592	228	0
330	545	0
154	362	0
12	697	0
1023	676	0
482	177	1
1010	1031	0
341	984	0
188	525	0
12	984	0
130	124	0
1170	352	1
208	181	0
581	1428	0
